GENERATION 20200519_104235_g1
[5, [43.0, 8.0, 6.0, 18.0, 0.0, 24.0, 4.0, 148.0, 60.0, 0.0], [1.8032, 5.0364, 0.3938, 2.5992, 2.2083, 6.4693], 0, 8]
[5, [28.8527, 13.8059, 10.9908, 32.1124, 26.5991, 25.8189, 0.5719, 50.0, 50.0, 50.0], [1.4635, 1.9797, 3.7803, 2.0723, 0.421, 9.4796], 0, 3]
[5, [35.9473, 27.3575, 9.9966, 15.6219, 3.0663, 19.0495, 5.9734, 50.0, 3.2596, 50.0], [8.4395, 3.3059, 1.6069, 0.3942, 2.2509, 0.4063], 0, 5]
[5, [35.9888, 28.0123, 10.049, 14.9407, 2.6475, 19.1921, 6.0, 50.0, 6.0, 50.0], [6.5698, 0.0024, 1.8197, 3.8857, 5.8639, 8.5132], 0, 4]
[5, [27.0952, 28.5642, 11.9943, 18.988, 13.0387, 22.0022, 4.0133, 50.0, 50.0, 32.5418], [6.1177, 3.8668, 0.4703, 6.7354, 1.5137, 9.8671], 0, 7]
[5, [28.853, 14.6038, 10.9483, 32.8654, 27.9831, 26.273, 0.7234, 50.0, 50.0, 50.0], [0.7792, 0.7321, 4.2023, 4.1979, 0.4626, 1.3223], 0, 1]
[5, [35.9698, 28.1536, 10.1089, 14.1663, 0.9906, 19.0953, 5.7885, 50.0, 6.3436, 50.0], [6.9899, 6.1874, 0.0778, 6.373, 4.8329, 2.0364], 0, 9]
[5, [28.8512, 14.447, 11.1851, 32.5267, 27.8746, 25.9538, 1.2685, 50.0, 48.7089, 48.1993], [0.2529, 1.2982, 3.9558, 8.0975, 5.5312, 3.2788], 0, 2]
[5, [28.9576, 14.4271, 11.2034, 32.7169, 27.8288, 25.5695, 1.0517, 50.0, 48.4424, 48.3928], [6.007, 9.8747, 0.0101, 3.6319, 6.2571, 3.23], 0, 10]
GENERATION 20200519_104235_g5
[5, [28.8164, 13.8774, 10.9794, 31.2898, 25.8469, 25.6116, 0.5769, 49.0868, 50.0, 50.0], [0.1365, 4.5648, 5.5405, 3.5078, 1.7709, 6.1601], 0, 1]
[5, [28.853, 14.6038, 10.9483, 32.8654, 27.9831, 26.273, 0.7234, 50.0, 50.0, 50.0], [0.7792, 0.7321, 4.2023, 4.1979, 0.4626, 1.3223], 0, 2]
[5, [28.8512, 14.447, 11.1851, 32.5267, 27.8746, 25.9538, 1.2685, 50.0, 48.7089, 48.1993], [0.2529, 1.2982, 3.9558, 8.0975, 5.5312, 3.2788], 0, 3]
[5, [28.8527, 13.8059, 10.9908, 32.1124, 26.5991, 25.8189, 0.5719, 50.0, 50.0, 50.0], [1.4635, 1.9797, 3.7803, 2.0723, 0.421, 9.4796], 0, 4]
[5, [28.8512, 14.4459, 11.1988, 32.5297, 27.8741, 25.9669, 1.2702, 50.0, 48.7362, 48.2268], [1.7002, 2.3819, 2.2604, 6.7844, 0.4417, 2.4029], 0, 5]
[5, [35.9888, 28.0123, 10.049, 14.9407, 2.6475, 19.1921, 6.0, 50.0, 6.0, 50.0], [6.5698, 0.0024, 1.8197, 3.8857, 5.8639, 8.5132], 0, 6]
[5, [35.9473, 27.3575, 9.9966, 15.6219, 3.0663, 19.0495, 5.9734, 50.0, 3.2596, 50.0], [8.4395, 3.3059, 1.6069, 0.3942, 2.2509, 0.4063], 0, 7]
[5, [36.0, 28.0, 10.0, 15.0, 3.0, 19.0, 6.0, 164.0, 6.0, 81.0], [9.6103, 1.8497, 1.239, 3.7014, 9.8052, 0.3639], 0, 8]
[5, [28.8527, 13.8335, 10.9909, 32.1539, 26.5321, 25.8059, 0.5635, 50.0, 50.0, 50.0], [3.1125, 3.8951, 0.5223, 8.8594, 1.9334, 4.1384], 0, 9]
